SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
21.0,-23.0,30.0,-109.0,-75.0,-18.0,11.0,7.0,-123.0,80
18.0,-23.0,29.0,-109.0,-75.0,-23.0,11.0,7.0,-127.0,80
19.0,-22.0,29.0,-109.0,-74.0,-21.0,12.0,8.0,-125.0,80
19.0,-22.0,29.0,-109.0,-73.0,-19.0,12.0,9.0,-123.0,80
21.0,-22.0,29.0,-109.0,-72.0,-18.0,10.0,9.0,-123.0,80
22.0,-21.0,29.0,-108.0,-72.0,-19.0,14.0,12.0,-124.0,80
23.0,-15.0,34.0,-104.0,-72.0,-18.0,17.0,13.0,-124.0,80
25.0,-15.0,34.0,-103.0,-71.0,-18.0,19.0,14.0,-123.0,80
25.0,-15.0,34.0,-101.0,-69.0,-17.0,19.0,16.0,-123.0,80
26.0,-15.0,34.0,-103.0,-67.0,-16.0,23.0,14.0,-123.0,80
26.0,-15.0,34.0,-103.0,-67.0,-16.0,20.0,14.0,-123.0,80
26.0,-15.0,34.0,-103.0,-67.0,-17.0,20.0,14.0,-123.0,80
26.0,-15.0,34.0,-103.0,-67.0,-17.0,14.0,14.0,-123.0,80
26.0,-15.0,34.0,-103.0,-67.0,-17.0,14.0,14.0,-123.0,80
26.0,-15.0,36.0,-99.0,-67.0,-16.0,20.0,17.0,-123.0,80
26.0,-15.0,41.0,-98.0,-67.0,-14.0,22.0,18.0,-122.0,80
26.0,-15.0,43.0,-97.0,-67.0,-12.0,23.0,18.0,-122.0,80
26.0,-14.0,43.0,-97.0,-65.0,-10.0,25.0,18.0,-121.0,80
27.0,-15.0,38.0,-98.0,-64.0,-12.0,27.0,16.0,-116.0,80
26.0,-15.0,38.0,-98.0,-64.0,-12.0,25.0,16.0,-116.0,80
25.0,-15.0,38.0,-98.0,-64.0,-12.0,23.0,16.0,-118.0,80
24.0,-15.0,38.0,-98.0,-64.0,-14.0,23.0,16.0,-118.0,80
24.0,-15.0,36.0,-99.0,-64.0,-16.0,23.0,16.0,-118.0,80
25.0,-13.0,36.0,-98.0,-64.0,-16.0,23.0,17.0,-118.0,80
26.0,-11.0,36.0,-98.0,-62.0,-14.0,23.0,18.0,-117.0,80
27.0,-11.0,36.0,-98.0,-58.0,-14.0,25.0,19.0,-116.0,80
27.0,-9.0,36.0,-98.0,-57.0,-14.0,27.0,21.0,-114.0,80
29.0,-9.0,34.0,-96.0,-56.0,-15.0,27.0,22.0,-114.0,80
29.0,-9.0,32.0,-98.0,-56.0,-16.0,27.0,19.0,-114.0,80
29.0,-9.0,32.0,-98.0,-56.0,-16.0,27.0,19.0,-116.0,80
29.0,-11.0,32.0,-98.0,-56.0,-16.0,27.0,19.0,-116.0,80
27.0,-11.0,32.0,-98.0,-56.0,-16.0,27.0,19.0,-116.0,80
31.0,-9.0,34.0,-95.0,-48.0,-9.0,28.0,25.0,-113.0,80
48.0,10.0,77.0,-60.0,-35.0,-8.0,28.0,53.0,-105.0,120
48.0,9.0,78.0,-59.0,-36.0,-9.0,27.0,52.0,-104.0,120
48.0,9.0,78.0,-59.0,-36.0,-9.0,27.0,52.0,-104.0,120
48.0,9.0,78.0,-59.0,-37.0,-9.0,27.0,51.0,-104.0,120
48.0,9.0,78.0,-59.0,-37.0,-9.0,27.0,50.0,-104.0,120
47.0,9.0,68.0,-59.0,-37.0,-9.0,27.0,50.0,-104.0,120
47.0,9.0,78.0,-59.0,-36.0,-9.0,27.0,50.0,-102.0,120
47.0,9.0,80.0,-59.0,-33.0,-9.0,27.0,51.0,-102.0,120
48.0,9.0,80.0,-58.0,-32.0,-9.0,28.0,51.0,-102.0,120
48.0,9.0,80.0,-58.0,-32.0,-7.0,29.0,52.0,-101.0,120
48.0,10.0,81.0,-58.0,-33.0,-9.0,30.0,51.0,-99.0,120
48.0,10.0,80.0,-58.0,-33.0,-9.0,28.0,51.0,-99.0,120
48.0,10.0,80.0,-58.0,-33.0,-9.0,27.0,49.0,-102.0,120
47.0,10.0,80.0,-58.0,-34.0,-9.0,26.0,48.0,-102.0,120
47.0,9.0,77.0,-59.0,-36.0,-9.0,26.0,47.0,-103.0,120
47.0,9.0,77.0,-59.0,-34.0,-9.0,26.0,48.0,-102.0,120
47.0,9.0,77.0,-59.0,-34.0,-9.0,27.0,48.0,-102.0,120
48.0,10.0,78.0,-59.0,-33.0,-9.0,28.0,49.0,-102.0,120
48.0,10.0,78.0,-59.0,-33.0,-9.0,28.0,49.0,-102.0,120
54.0,14.0,79.0,-59.0,-29.0,-6.0,37.0,51.0,-97.0,120
53.0,13.0,79.0,-61.0,-29.0,-6.0,35.0,48.0,-100.0,120
53.0,12.0,79.0,-61.0,-32.0,-6.0,35.0,48.0,-102.0,120
53.0,12.0,78.0,-63.0,-32.0,-6.0,35.0,48.0,-102.0,120
53.0,11.0,78.0,-63.0,-32.0,-6.0,35.0,48.0,-102.0,120
53.0,11.0,79.0,-61.0,-32.0,-2.0,35.0,48.0,-102.0,120
53.0,11.0,80.0,-61.0,-32.0,-2.0,37.0,48.0,-102.0,120
53.0,11.0,80.0,-61.0,-32.0,-1.0,37.0,48.0,-102.0,120
53.0,11.0,80.0,-61.0,-32.0,-1.0,37.0,48.0,-102.0,120
54.0,11.0,79.0,-61.0,-34.0,-1.0,38.0,48.0,-104.0,120
54.0,11.0,78.0,-61.0,-34.0,-1.0,38.0,48.0,-104.0,120
54.0,11.0,78.0,-62.0,-35.0,-2.0,37.0,48.0,-105.0,120
54.0,11.0,78.0,-62.0,-36.0,-3.0,37.0,47.0,-105.0,120
54.0,11.0,77.0,-62.0,-36.0,-5.0,33.0,47.0,-105.0,120
54.0,11.0,78.0,-62.0,-36.0,-5.0,33.0,47.0,-104.0,120
50.0,7.0,71.0,-64.0,-36.0,-10.0,29.0,41.0,-108.0,120
50.0,5.0,72.0,-64.0,-36.0,-9.0,29.0,40.0,-109.0,120
46.0,4.0,72.0,-64.0,-38.0,-10.0,28.0,40.0,-109.0,120
45.0,4.0,72.0,-66.0,-38.0,-10.0,27.0,40.0,-110.0,120
44.0,3.0,72.0,-67.0,-40.0,-10.0,27.0,40.0,-110.0,120
43.0,2.0,70.0,-67.0,-42.0,-10.0,27.0,40.0,-111.0,120
44.0,2.0,70.0,-67.0,-40.0,-10.0,27.0,40.0,-110.0,120
44.0,3.0,70.0,-67.0,-40.0,-10.0,27.0,42.0,-109.0,120
45.0,3.0,72.0,-67.0,-40.0,-10.0,27.0,42.0,-109.0,120
45.0,4.0,72.0,-66.0,-40.0,-9.0,27.0,43.0,-109.0,120
45.0,3.0,73.0,-67.0,-38.0,-10.0,27.0,42.0,-109.0,120
44.0,3.0,71.0,-67.0,-42.0,-10.0,26.0,42.0,-110.0,120
44.0,1.0,71.0,-68.0,-42.0,-12.0,26.0,40.0,-110.0,120
43.0,1.0,70.0,-71.0,-42.0,-12.0,26.0,40.0,-111.0,120
43.0,1.0,69.0,-72.0,-42.0,-12.0,26.0,38.0,-111.0,120
43.0,1.0,69.0,-72.0,-42.0,-12.0,27.0,39.0,-111.0,120
