SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-70.0,-4.0,-71.0,-121.0,6.0,-110.0,45.0,-49.0,-38.0,41
-69.0,-3.0,-70.0,-119.0,6.0,-109.0,45.0,-46.0,-38.0,41
-56.0,-3.0,-68.0,-114.0,6.0,-108.0,45.0,-45.0,-38.0,41
-50.0,2.0,-68.0,-104.0,-1.0,-108.0,43.0,-44.0,-36.0,41
-50.0,2.0,-68.0,-104.0,-6.0,-108.0,39.0,-44.0,-53.0,41
-50.0,2.0,-68.0,-104.0,-7.0,-108.0,39.0,-44.0,-58.0,41
-50.0,2.0,-68.0,-104.0,-7.0,-108.0,39.0,-44.0,-58.0,41
-50.0,-1.0,-68.0,-104.0,-7.0,-108.0,39.0,-44.0,-58.0,41
-47.0,2.0,-66.0,-104.0,-6.0,-103.0,41.0,-43.0,-58.0,41
-47.0,3.0,-62.0,-104.0,-4.0,-102.0,43.0,-43.0,-53.0,41
-47.0,4.0,-61.0,-100.0,-1.0,-102.0,43.0,-42.0,-49.0,41
-47.0,5.0,-60.0,-99.0,0.0,-102.0,46.0,-42.0,-49.0,41
-47.0,4.0,-61.0,-100.0,4.0,-104.0,46.0,-40.0,-40.0,41
-50.0,4.0,-63.0,-100.0,4.0,-104.0,43.0,-40.0,-40.0,41
-50.0,4.0,-63.0,-100.0,4.0,-104.0,43.0,-40.0,-58.0,41
-50.0,4.0,-63.0,-100.0,4.0,-104.0,43.0,-40.0,-58.0,41
-50.0,4.0,-63.0,-100.0,4.0,-104.0,43.0,-40.0,-58.0,41
-47.0,6.0,-61.0,-98.0,4.0,-104.0,46.0,-39.0,-58.0,41
-46.0,6.0,-60.0,-95.0,4.0,-101.0,49.0,-38.0,-51.0,41
-44.0,8.0,-59.0,-95.0,4.0,-100.0,49.0,-37.0,-40.0,41
-38.0,9.0,-58.0,-95.0,5.0,-100.0,49.0,-36.0,-39.0,41
-38.0,9.0,-55.0,-91.0,4.0,-97.0,49.0,-35.0,-40.0,41
-38.0,9.0,-55.0,-91.0,0.0,-99.0,49.0,-37.0,-40.0,41
-38.0,9.0,-55.0,-91.0,0.0,-99.0,46.0,-37.0,-49.0,41
-38.0,9.0,-55.0,-91.0,-1.0,-99.0,45.0,-39.0,-58.0,41
-38.0,9.0,-55.0,-91.0,-2.0,-99.0,45.0,-39.0,-58.0,41
-37.0,9.0,-52.0,-88.0,-2.0,-99.0,45.0,-37.0,-49.0,41
-33.0,11.0,-51.0,-78.0,-2.0,-95.0,46.0,-36.0,-42.0,41
-32.0,11.0,-50.0,-76.0,-7.0,-93.0,45.0,-35.0,-46.0,41
-32.0,11.0,-50.0,-76.0,-7.0,-93.0,45.0,-35.0,-55.0,41
-32.0,11.0,-50.0,-76.0,-11.0,-93.0,45.0,-35.0,-55.0,41
-32.0,11.0,-50.0,-76.0,-11.0,-93.0,45.0,-35.0,-58.0,41
-32.0,11.0,-50.0,-76.0,-14.0,-93.0,44.0,-35.0,-61.0,41
-22.0,12.0,-48.0,-73.0,-11.0,-93.0,45.0,-35.0,-58.0,41
-21.0,13.0,-48.0,-69.0,-11.0,-93.0,45.0,-35.0,-58.0,41
-21.0,13.0,-47.0,-67.0,-11.0,-93.0,45.0,-34.0,-58.0,41
-19.0,13.0,-47.0,-66.0,-10.0,-93.0,45.0,-34.0,-55.0,41
-18.0,13.0,-47.0,-62.0,-11.0,-94.0,44.0,-34.0,-51.0,41
-18.0,13.0,-47.0,-62.0,-11.0,-94.0,44.0,-34.0,-58.0,41
-18.0,13.0,-47.0,-62.0,-11.0,-94.0,44.0,-35.0,-58.0,41
-18.0,13.0,-47.0,-62.0,-11.0,-94.0,43.0,-35.0,-58.0,41
-18.0,13.0,-47.0,-62.0,-11.0,-95.0,43.0,-35.0,-58.0,41
-16.0,16.0,-45.0,-60.0,-11.0,-94.0,44.0,-35.0,-51.0,41
-16.0,17.0,-43.0,-60.0,-7.0,-91.0,44.0,-35.0,-45.0,41
-16.0,19.0,-42.0,-60.0,-4.0,-91.0,48.0,-35.0,-45.0,41
-16.0,19.0,-41.0,-60.0,-3.0,-91.0,48.0,-35.0,-45.0,41
-21.0,20.0,-42.0,-65.0,-1.0,-91.0,48.0,-36.0,-45.0,41
-21.0,20.0,-42.0,-67.0,-1.0,-96.0,48.0,-37.0,-50.0,41
-16.0,23.0,-33.0,-68.0,0.0,-88.0,51.0,-36.0,-57.0,41
-16.0,23.0,-31.0,-68.0,0.0,-87.0,52.0,-36.0,-48.0,41
