SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
25.0,10.0,37.0,-101.0,-59.0,73.0,83.0,105.0,-35.0,40
25.0,8.0,37.0,-101.0,-60.0,72.0,83.0,105.0,-35.0,40
25.0,8.0,36.0,-101.0,-60.0,68.0,83.0,105.0,-35.0,40
25.0,5.0,36.0,-101.0,-60.0,68.0,83.0,103.0,-35.0,40
26.0,8.0,37.0,-101.0,-60.0,72.0,84.0,105.0,-35.0,40
26.0,10.0,38.0,-101.0,-60.0,73.0,86.0,105.0,-24.0,40
26.0,11.0,38.0,-101.0,-60.0,73.0,86.0,105.0,-24.0,40
26.0,11.0,38.0,-101.0,-60.0,73.0,86.0,105.0,-24.0,40
25.0,12.0,38.0,-103.0,-61.0,74.0,84.0,108.0,-22.0,40
25.0,11.0,38.0,-103.0,-61.0,74.0,82.0,108.0,-27.0,40
24.0,11.0,38.0,-104.0,-63.0,74.0,82.0,108.0,-35.0,40
23.0,8.0,38.0,-106.0,-63.0,74.0,82.0,108.0,-35.0,40
23.0,8.0,36.0,-106.0,-63.0,74.0,82.0,107.0,-35.0,40
23.0,11.0,38.0,-106.0,-61.0,75.0,84.0,107.0,-35.0,40
23.0,12.0,38.0,-106.0,-61.0,76.0,86.0,108.0,-27.0,40
23.0,12.0,38.0,-105.0,-61.0,82.0,86.0,108.0,-22.0,40
23.0,12.0,40.0,-105.0,-61.0,83.0,88.0,108.0,-22.0,40
24.0,12.0,39.0,-107.0,-63.0,83.0,90.0,108.0,-21.0,40
20.0,11.0,39.0,-107.0,-64.0,82.0,90.0,106.0,-21.0,40
20.0,11.0,39.0,-107.0,-65.0,82.0,90.0,106.0,-31.0,40
20.0,10.0,39.0,-107.0,-65.0,82.0,90.0,106.0,-33.0,40
37.0,-5.0,45.0,-130.0,-81.0,103.0,87.0,119.0,-27.0,80
37.0,-9.0,45.0,-130.0,-81.0,103.0,85.0,119.0,-45.0,80
41.0,-18.0,46.0,-132.0,-81.0,103.0,85.0,120.0,-38.0,80
40.0,-17.0,45.0,-133.0,-83.0,100.0,85.0,119.0,-31.0,80
37.0,-17.0,42.0,-136.0,-83.0,100.0,84.0,119.0,-38.0,80
36.0,-18.0,42.0,-136.0,-83.0,100.0,83.0,118.0,-54.0,80
36.0,-22.0,40.0,-136.0,-83.0,98.0,82.0,118.0,-54.0,80
36.0,-22.0,40.0,-136.0,-83.0,98.0,81.0,118.0,-55.0,80
36.0,-19.0,40.0,-136.0,-82.0,98.0,81.0,119.0,-55.0,80
36.0,-19.0,42.0,-134.0,-82.0,98.0,81.0,121.0,-54.0,80
37.0,-19.0,42.0,-133.0,-82.0,98.0,81.0,121.0,-52.0,80
40.0,-19.0,42.0,-132.0,-81.0,98.0,81.0,121.0,-52.0,80
40.0,-22.0,43.0,-132.0,-78.0,97.0,81.0,121.0,-44.0,80
40.0,-22.0,43.0,-132.0,-78.0,97.0,81.0,121.0,-44.0,80
40.0,-23.0,43.0,-133.0,-78.0,97.0,79.0,121.0,-55.0,80
45.0,-23.0,47.0,-125.0,-75.0,97.0,82.0,122.0,-53.0,80
45.0,-23.0,45.0,-125.0,-77.0,97.0,82.0,122.0,-53.0,80
45.0,-24.0,45.0,-128.0,-77.0,97.0,81.0,121.0,-55.0,80
44.0,-24.0,44.0,-128.0,-77.0,96.0,81.0,121.0,-63.0,80
44.0,-25.0,44.0,-128.0,-77.0,95.0,81.0,121.0,-63.0,80
45.0,-25.0,45.0,-125.0,-77.0,96.0,81.0,121.0,-55.0,80
45.0,-25.0,45.0,-125.0,-76.0,96.0,82.0,122.0,-55.0,80
48.0,-25.0,45.0,-125.0,-75.0,96.0,83.0,123.0,-53.0,80
49.0,-25.0,44.0,-125.0,-75.0,96.0,85.0,123.0,-53.0,80
48.0,-25.0,43.0,-125.0,-76.0,96.0,85.0,123.0,-53.0,80
48.0,-25.0,43.0,-125.0,-76.0,96.0,85.0,123.0,-63.0,80
48.0,-25.0,43.0,-125.0,-76.0,96.0,85.0,123.0,-63.0,80
49.0,-25.0,43.0,-125.0,-75.0,96.0,86.0,124.0,-53.0,80
49.0,-25.0,43.0,-125.0,-75.0,97.0,86.0,124.0,-53.0,80
49.0,-21.0,44.0,-124.0,-74.0,97.0,87.0,124.0,-44.0,80
50.0,-18.0,44.0,-124.0,-73.0,99.0,87.0,125.0,-39.0,80
49.0,-15.0,44.0,-123.0,-74.0,100.0,87.0,126.0,-44.0,80
49.0,-20.0,44.0,-123.0,-74.0,99.0,87.0,124.0,-44.0,80
49.0,-20.0,44.0,-123.0,-74.0,99.0,87.0,124.0,-44.0,80
50.0,-20.0,44.0,-122.0,-71.0,97.0,87.0,125.0,-44.0,80
51.0,-19.0,44.0,-121.0,-69.0,97.0,87.0,125.0,-44.0,80
51.0,-19.0,44.0,-120.0,-68.0,97.0,87.0,125.0,-44.0,80
52.0,-19.0,44.0,-118.0,-66.0,97.0,87.0,125.0,-43.0,80
53.0,-25.0,41.0,-113.0,-67.0,95.0,88.0,122.0,-39.0,80
52.0,-29.0,41.0,-114.0,-67.0,95.0,88.0,121.0,-44.0,80
52.0,-29.0,41.0,-114.0,-68.0,94.0,87.0,121.0,-44.0,80
52.0,-30.0,41.0,-114.0,-68.0,94.0,87.0,120.0,-44.0,80
52.0,-31.0,40.0,-115.0,-68.0,94.0,86.0,120.0,-61.0,80
53.0,-31.0,41.0,-114.0,-68.0,94.0,86.0,120.0,-44.0,80
53.0,-31.0,41.0,-113.0,-67.0,94.0,86.0,120.0,-43.0,80
53.0,-31.0,41.0,-113.0,-67.0,94.0,86.0,120.0,-43.0,80
54.0,-30.0,42.0,-113.0,-67.0,94.0,87.0,120.0,-43.0,80
53.0,-29.0,43.0,-113.0,-67.0,94.0,88.0,115.0,-39.0,80
52.0,-29.0,43.0,-114.0,-69.0,94.0,86.0,114.0,-44.0,80
52.0,-30.0,43.0,-114.0,-69.0,94.0,86.0,114.0,-50.0,80
96.0,-58.0,54.0,-94.0,-54.0,70.0,64.0,114.0,-65.0,120
96.0,-58.0,54.0,-94.0,-54.0,71.0,64.0,114.0,-65.0,120
101.0,-60.0,55.0,-94.0,-54.0,70.0,64.0,112.0,-70.0,120
101.0,-62.0,54.0,-96.0,-54.0,70.0,63.0,112.0,-70.0,120
101.0,-64.0,54.0,-96.0,-54.0,68.0,62.0,111.0,-72.0,120
101.0,-64.0,51.0,-96.0,-54.0,68.0,62.0,111.0,-74.0,120
101.0,-65.0,51.0,-96.0,-54.0,68.0,62.0,111.0,-74.0,120
102.0,-64.0,53.0,-94.0,-53.0,68.0,62.0,111.0,-72.0,120
103.0,-64.0,54.0,-93.0,-52.0,68.0,62.0,112.0,-70.0,120
104.0,-64.0,54.0,-93.0,-52.0,70.0,62.0,114.0,-65.0,120
106.0,-64.0,55.0,-92.0,-52.0,70.0,63.0,114.0,-62.0,120
104.0,-64.0,56.0,-93.0,-52.0,72.0,62.0,114.0,-65.0,120
102.0,-65.0,55.0,-94.0,-53.0,70.0,62.0,111.0,-65.0,120
98.0,-65.0,55.0,-96.0,-55.0,68.0,62.0,111.0,-65.0,120
98.0,-65.0,54.0,-96.0,-55.0,68.0,61.0,111.0,-72.0,120
97.0,-65.0,53.0,-97.0,-55.0,68.0,61.0,110.0,-72.0,120
97.0,-65.0,53.0,-97.0,-55.0,70.0,62.0,111.0,-68.0,120
97.0,-64.0,54.0,-96.0,-55.0,72.0,62.0,111.0,-68.0,120
98.0,-64.0,54.0,-96.0,-55.0,72.0,63.0,111.0,-68.0,120
100.0,-64.0,55.0,-96.0,-55.0,72.0,63.0,111.0,-65.0,120
99.0,-63.0,54.0,-96.0,-53.0,71.0,63.0,111.0,-68.0,120
99.0,-64.0,54.0,-97.0,-53.0,71.0,63.0,111.0,-70.0,120
99.0,-64.0,54.0,-100.0,-55.0,71.0,63.0,109.0,-70.0,120
98.0,-64.0,54.0,-101.0,-55.0,71.0,63.0,109.0,-70.0,120
98.0,-64.0,54.0,-101.0,-55.0,71.0,63.0,108.0,-79.0,120
98.0,-64.0,54.0,-101.0,-55.0,72.0,63.0,108.0,-70.0,120
98.0,-63.0,55.0,-100.0,-55.0,73.0,63.0,109.0,-68.0,120
100.0,-64.0,57.0,-97.0,-53.0,73.0,64.0,110.0,-58.0,120
99.0,-64.0,56.0,-97.0,-53.0,73.0,64.0,110.0,-68.0,120
99.0,-64.0,56.0,-98.0,-53.0,73.0,64.0,110.0,-68.0,120
98.0,-64.0,55.0,-98.0,-54.0,73.0,64.0,110.0,-68.0,120
96.0,-48.0,61.0,-112.0,-56.0,82.0,61.0,114.0,-48.0,120
98.0,-50.0,60.0,-110.0,-60.0,82.0,60.0,113.0,-50.0,120
97.0,-51.0,60.0,-110.0,-60.0,78.0,60.0,112.0,-62.0,120
97.0,-52.0,59.0,-114.0,-62.0,77.0,60.0,112.0,-62.0,120
95.0,-53.0,59.0,-114.0,-62.0,77.0,60.0,112.0,-68.0,120
94.0,-53.0,59.0,-114.0,-62.0,76.0,58.0,111.0,-73.0,120
95.0,-53.0,59.0,-113.0,-62.0,77.0,60.0,111.0,-68.0,120
96.0,-52.0,59.0,-111.0,-61.0,77.0,60.0,111.0,-68.0,120
97.0,-52.0,59.0,-110.0,-60.0,77.0,60.0,111.0,-68.0,120
97.0,-51.0,59.0,-110.0,-59.0,78.0,60.0,111.0,-62.0,120
97.0,-50.0,59.0,-112.0,-58.0,77.0,61.0,111.0,-61.0,120
97.0,-51.0,59.0,-112.0,-60.0,77.0,60.0,109.0,-68.0,120
97.0,-51.0,59.0,-112.0,-60.0,76.0,60.0,109.0,-68.0,120
97.0,-52.0,59.0,-112.0,-60.0,76.0,60.0,109.0,-68.0,120
97.0,-52.0,58.0,-113.0,-60.0,76.0,60.0,109.0,-78.0,120
97.0,-51.0,59.0,-113.0,-60.0,76.0,61.0,111.0,-68.0,120
97.0,-50.0,59.0,-112.0,-60.0,77.0,61.0,111.0,-61.0,120
97.0,-50.0,59.0,-112.0,-58.0,77.0,63.0,111.0,-61.0,120
97.0,-50.0,59.0,-112.0,-58.0,78.0,63.0,112.0,-57.0,120
