SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-104.0,-116.0,-44.0,-125.0,19.0,-28.0,50.0,-3.0,25.0,p15_r-15
-104.0,-116.0,-44.0,-124.0,19.0,-28.0,52.0,-3.0,25.0,p15_r-15
-102.0,-115.0,-43.0,-124.0,26.0,-27.0,52.0,-3.0,25.0,p15_r-15
-102.0,-114.0,-42.0,-124.0,26.0,-27.0,52.0,-3.0,25.0,p15_r-15
-102.0,-113.0,-39.0,-125.0,26.0,-27.0,52.0,-4.0,25.0,p15_r-15
-103.0,-114.0,-39.0,-125.0,26.0,-27.0,52.0,-6.0,25.0,p15_r-15
-103.0,-114.0,-39.0,-125.0,26.0,-27.0,50.0,-7.0,25.0,p15_r-15
-103.0,-115.0,-39.0,-125.0,26.0,-29.0,50.0,-8.0,24.0,p15_r-15
-103.0,-115.0,-39.0,-125.0,26.0,-29.0,50.0,-8.0,23.0,p15_r-15
-103.0,-114.0,-36.0,-125.0,27.0,-28.0,50.0,-7.0,24.0,p15_r-15
-103.0,-114.0,-34.0,-122.0,27.0,-28.0,52.0,-7.0,25.0,p15_r-15
-103.0,-113.0,-33.0,-122.0,27.0,-27.0,52.0,-7.0,25.0,p15_r-15
-103.0,-113.0,-32.0,-122.0,27.0,-27.0,53.0,-6.0,25.0,p15_r-15
-106.0,-115.0,-33.0,-126.0,25.0,-28.0,52.0,-6.0,25.0,p15_r-15
-106.0,-117.0,-33.0,-129.0,21.0,-34.0,54.0,-8.0,26.0,p15_r-15
-106.0,-119.0,-33.0,-129.0,14.0,-38.0,54.0,-8.0,27.0,p15_r-15
-107.0,-120.0,-33.0,-130.0,14.0,-40.0,54.0,-12.0,27.0,p15_r-15
-112.0,-123.0,-33.0,-135.0,13.0,-40.0,54.0,-12.0,27.0,p15_r-15
-115.0,-125.0,-36.0,-135.0,12.0,-42.0,54.0,-12.0,26.0,p15_r-15
-115.0,-127.0,-36.0,-136.0,11.0,-42.0,53.0,-14.0,22.0,p15_r-15
-112.0,-125.0,-33.0,-135.0,11.0,-42.0,53.0,-14.0,22.0,p15_r-15
-109.0,-124.0,-33.0,-135.0,12.0,-42.0,53.0,-12.0,22.0,p15_r-15
-107.0,-124.0,-32.0,-135.0,12.0,-42.0,53.0,-12.0,26.0,p15_r-15
-107.0,-124.0,-30.0,-135.0,12.0,-42.0,54.0,-12.0,26.0,p15_r-15
-111.0,-126.0,-32.0,-141.0,9.0,-46.0,53.0,-13.0,26.0,p15_r-15
-111.0,-131.0,-33.0,-141.0,0.0,-47.0,50.0,-15.0,22.0,p15_r-15
-111.0,-131.0,-33.0,-141.0,-1.0,-48.0,47.0,-16.0,22.0,p15_r-15
-112.0,-134.0,-33.0,-142.0,-4.0,-49.0,46.0,-16.0,22.0,p15_r-15
-113.0,-134.0,-33.0,-142.0,-4.0,-49.0,45.0,-16.0,22.0,p15_r-15
-112.0,-134.0,-32.0,-142.0,-1.0,-48.0,45.0,-15.0,22.0,p15_r-15
-111.0,-131.0,-28.0,-142.0,-1.0,-48.0,45.0,-15.0,23.0,p15_r-15
-111.0,-128.0,-26.0,-142.0,0.0,-48.0,45.0,-15.0,23.0,p15_r-15
-111.0,-128.0,-25.0,-142.0,0.0,-47.0,45.0,-15.0,23.0,p15_r-15
-111.0,-128.0,-24.0,-143.0,3.0,-46.0,43.0,-16.0,22.0,p15_r-15
-111.0,-134.0,-26.0,-145.0,-1.0,-48.0,43.0,-18.0,22.0,p15_r-15
-116.0,-134.0,-31.0,-145.0,-5.0,-48.0,40.0,-18.0,22.0,p15_r-15
-117.0,-135.0,-32.0,-145.0,-5.0,-50.0,39.0,-20.0,22.0,p15_r-15
-121.0,-136.0,-33.0,-145.0,-5.0,-50.0,38.0,-20.0,22.0,p15_r-15
-121.0,-135.0,-33.0,-145.0,-5.0,-50.0,38.0,-20.0,22.0,p15_r-15
-121.0,-135.0,-33.0,-145.0,-5.0,-50.0,38.0,-20.0,22.0,p15_r-15
-121.0,-135.0,-33.0,-145.0,-5.0,-50.0,38.0,-20.0,22.0,p15_r-15
-121.0,-134.0,-32.0,-143.0,-5.0,-48.0,38.0,-20.0,22.0,p15_r-15
-123.0,-135.0,-33.0,-142.0,-1.0,-48.0,38.0,-25.0,22.0,p15_r-15
-124.0,-135.0,-33.0,-142.0,-5.0,-50.0,36.0,-25.0,22.0,p15_r-15
-127.0,-135.0,-33.0,-142.0,-5.0,-50.0,36.0,-25.0,18.0,p15_r-15
-127.0,-137.0,-33.0,-142.0,-5.0,-50.0,35.0,-26.0,18.0,p15_r-15
-127.0,-137.0,-34.0,-142.0,-5.0,-51.0,35.0,-26.0,16.0,p15_r-15
-127.0,-135.0,-33.0,-140.0,-4.0,-51.0,35.0,-26.0,18.0,p15_r-15
-127.0,-135.0,-33.0,-140.0,-4.0,-51.0,35.0,-26.0,18.0,p15_r-15
-127.0,-135.0,-33.0,-140.0,-4.0,-51.0,35.0,-26.0,18.0,p15_r-15
