SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-51.0,-132.0,43.0,-63.0,-93.0,-25.0,-152.0,-73.0,-114.0,6
-51.0,-130.0,43.0,-56.0,-91.0,-24.0,-150.0,-71.0,-113.0,6
-51.0,-128.0,43.0,-56.0,-91.0,-23.0,-141.0,-71.0,-110.0,6
-51.0,-126.0,47.0,-56.0,-90.0,-23.0,-132.0,-71.0,-109.0,6
-48.0,-125.0,47.0,-56.0,-89.0,-23.0,-129.0,-71.0,-107.0,6
-51.0,-123.0,50.0,-59.0,-89.0,-22.0,-132.0,-71.0,-107.0,6
-53.0,-126.0,50.0,-63.0,-90.0,-22.0,-136.0,-76.0,-110.0,6
-53.0,-126.0,50.0,-63.0,-90.0,-22.0,-136.0,-76.0,-110.0,6
-53.0,-124.0,53.0,-63.0,-90.0,-18.0,-133.0,-74.0,-109.0,6
-53.0,-124.0,60.0,-63.0,-90.0,-18.0,-133.0,-73.0,-109.0,6
-52.0,-123.0,61.0,-63.0,-90.0,-16.0,-133.0,-72.0,-109.0,6
-51.0,-123.0,61.0,-62.0,-89.0,-16.0,-133.0,-71.0,-109.0,6
-51.0,-123.0,53.0,-62.0,-90.0,-18.0,-133.0,-70.0,-110.0,6
-51.0,-123.0,50.0,-62.0,-93.0,-18.0,-138.0,-70.0,-110.0,6
-51.0,-124.0,46.0,-62.0,-93.0,-18.0,-138.0,-70.0,-110.0,6
-52.0,-126.0,43.0,-65.0,-89.0,-24.0,-135.0,-69.0,-111.0,6
-52.0,-126.0,38.0,-65.0,-90.0,-24.0,-135.0,-69.0,-111.0,6
-52.0,-124.0,43.0,-64.0,-89.0,-22.0,-129.0,-68.0,-109.0,6
-48.0,-124.0,43.0,-61.0,-89.0,-22.0,-129.0,-68.0,-107.0,6
-48.0,-123.0,44.0,-59.0,-89.0,-20.0,-129.0,-68.0,-107.0,6
-48.0,-122.0,44.0,-59.0,-89.0,-20.0,-129.0,-68.0,-107.0,6
-48.0,-123.0,44.0,-61.0,-91.0,-20.0,-125.0,-68.0,-108.0,6
-48.0,-123.0,43.0,-64.0,-91.0,-20.0,-131.0,-68.0,-108.0,6
-48.0,-123.0,43.0,-64.0,-91.0,-23.0,-131.0,-68.0,-109.0,6
-48.0,-123.0,43.0,-64.0,-91.0,-23.0,-131.0,-68.0,-112.0,6
-48.0,-124.0,42.0,-64.0,-91.0,-24.0,-135.0,-68.0,-112.0,6
-47.0,-124.0,42.0,-61.0,-91.0,-24.0,-135.0,-68.0,-112.0,6
-46.0,-123.0,42.0,-58.0,-91.0,-24.0,-133.0,-66.0,-112.0,6
-42.0,-126.0,35.0,-51.0,-93.0,-30.0,-134.0,-67.0,-114.0,6
-39.0,-126.0,35.0,-51.0,-93.0,-30.0,-134.0,-67.0,-114.0,6
-38.0,-127.0,31.0,-49.0,-92.0,-30.0,-134.0,-67.0,-116.0,6
-38.0,-127.0,29.0,-49.0,-92.0,-36.0,-135.0,-67.0,-116.0,6
-38.0,-127.0,27.0,-49.0,-92.0,-36.0,-136.0,-69.0,-117.0,6
-53.0,-133.0,25.0,-63.0,-94.0,-34.0,-135.0,-75.0,-117.0,6
-53.0,-133.0,25.0,-63.0,-92.0,-33.0,-132.0,-75.0,-111.0,6
-50.0,-132.0,26.0,-62.0,-91.0,-33.0,-130.0,-74.0,-111.0,6
-50.0,-130.0,29.0,-62.0,-89.0,-33.0,-129.0,-74.0,-111.0,6
-56.0,-130.0,30.0,-64.0,-89.0,-33.0,-126.0,-75.0,-109.0,6
-58.0,-130.0,30.0,-65.0,-89.0,-33.0,-126.0,-76.0,-109.0,6
-58.0,-131.0,30.0,-65.0,-91.0,-33.0,-130.0,-79.0,-109.0,6
-58.0,-131.0,30.0,-65.0,-91.0,-33.0,-131.0,-80.0,-109.0,6
-58.0,-131.0,30.0,-65.0,-92.0,-33.0,-135.0,-80.0,-112.0,6
-58.0,-131.0,32.0,-64.0,-92.0,-33.0,-135.0,-79.0,-111.0,6
-56.0,-131.0,32.0,-64.0,-91.0,-33.0,-135.0,-78.0,-109.0,6
-52.0,-131.0,33.0,-58.0,-90.0,-30.0,-135.0,-77.0,-109.0,6
-52.0,-131.0,34.0,-58.0,-90.0,-28.0,-134.0,-77.0,-109.0,6
-63.0,-131.0,32.0,-70.0,-91.0,-26.0,-132.0,-79.0,-110.0,6
-59.0,-131.0,32.0,-68.0,-90.0,-25.0,-131.0,-79.0,-110.0,6
-59.0,-130.0,32.0,-66.0,-90.0,-25.0,-129.0,-79.0,-109.0,6
-58.0,-130.0,32.0,-64.0,-89.0,-25.0,-126.0,-78.0,-109.0,6
